MAPPER,count,percentage
SINAIS_E_SINTOMAS,1,0.0029387563183260845
CIDADE_ALTAMENTE_URBANIZADA,1,0.0029387563183260845
EMPRESA_TRADICIONAL,1,0.0029387563183260845
TERMO_DA_CIÊNCIA_DE_COMPUTADORES,1,0.0029387563183260845
RUA,1,0.0029387563183260845
REVISTA_DE_MANGÁ,1,0.0029387563183260845
COLINA,1,0.0029387563183260845
PREFEITURA_COM_NÍVEL_DE_CIDADE,1,0.0029387563183260845
PROFETAS_DO_ISLÃO,1,0.0029387563183260845
PORTO,1,0.0029387563183260845
CIDADE_GLOBAL,1,0.0029387563183260845
COMPUTADOR_ÚNICO,1,0.0029387563183260845
PROVÍNCIA_DAS_FILIPINAS,1,0.0029387563183260845
ALDEOTA,1,0.0029387563183260845
RUÍNA,1,0.0029387563183260845
DIVINDADE_ROMANA,1,0.0029387563183260845
VULCÃO,1,0.0029387563183260845
TIPO_DE_ENTIDADE_QUÍMICA,1,0.0029387563183260845
UTILITÁRIO_PADRÃO_DO_UNIX,1,0.0029387563183260845
ÁREA_DE_VEGETAÇÃO,1,0.0029387563183260845
ESCOLA_LITERÁRIA,1,0.0029387563183260845
DISTRITO,1,0.0029387563183260845
MINA,1,0.0029387563183260845
OBRA_DE_ARTE,1,0.0029387563183260845
LOCALIDADE,1,0.0029387563183260845
OBRA_LITERÁRIA,1,0.0029387563183260845
REVISTA_CIENTÍFICA,1,0.0029387563183260845
MAMÍFERO_EM_CATIVEIRO,1,0.0029387563183260845
NAVIO_PESQUEIRO,1,0.0029387563183260845
CANHONEIRA,1,0.0029387563183260845
TERRITÓRIO_BRITÂNICO_ULTRAMARINO,1,0.0029387563183260845
CIDADE_DO_CHILE,1,0.0029387563183260845
PERSONAGEM_MODELO,1,0.0029387563183260845
SATÉLITE_IRREGULAR,1,0.0029387563183260845
BARRAGEM,1,0.0029387563183260845
DESASTRE_NATURAL,1,0.0029387563183260845
CARTÃO-POSTAL,1,0.0029387563183260845
ITEM_DE_HIGIENE_PESSOAL,1,0.0029387563183260845
MAHALLE,1,0.0029387563183260845
DEZ_CIDADES-REINO_DE_CHIPRE,1,0.0029387563183260845
CONCEITO_DAS_CIÊNCIAS_SOCIAIS,1,0.0029387563183260845
SÍTIO_DE_IMPORTÂNCIA_COMUNITÁRIA,1,0.0029387563183260845
FILME_DE_ANIMAÇÃO,1,0.0029387563183260845
CIDADE_ROMANA,1,0.0029387563183260845
MUNICÍPIO_DA_CATALUNHA,1,0.0029387563183260845
BAIRRO_DE_SÃO_PAULO,1,0.0029387563183260845
COMUNA_NO_CHILE,1,0.0029387563183260845
OCUPAÇÃO,1,0.0029387563183260845
COMUNA_DA_BÉLGICA,1,0.0029387563183260845
ESTEREÓTIPO,1,0.0029387563183260845
QUALIDADE,1,0.0029387563183260845
MUNICÍPIO_DE_ANGOLA,1,0.0029387563183260845
CONCEITO,1,0.0029387563183260845
PARÓQUIA_DE_ANDORRA,1,0.0029387563183260845
ATIVIDADE,1,0.0029387563183260845
ESTAÇÃO_FERROVIÁRIA,1,0.0029387563183260845
TIPO_DE_MADEIRA,1,0.0029387563183260845
PRATO,1,0.0029387563183260845
PROVÍNCIA_DA_GUINÉ_EQUATORIAL,1,0.0029387563183260845
GRUPO_FICTÍCIO_DE_PERSONAGENS,1,0.0029387563183260845
TEMA_ARTÍSTICO,1,0.0029387563183260845
DISTRITO_MUNICIPAL_DO_BRASIL,1,0.0029387563183260845
ZONA_DE_PROTECÇÃO_ESPECIAL,1,0.0029387563183260845
SERVIÇO,1,0.0029387563183260845
TIPO_DE_OBRA_OU_COMPOSIÇÃO_MUSICAL,1,0.0029387563183260845
MOVIMENTO_ARTÍSTICO,1,0.0029387563183260845
TRANSPORTE_HECTOMÉTRICO,1,0.0029387563183260845
LAGO,1,0.0029387563183260845
ESTADO_SOBERANO,1,0.0029387563183260845
EQUIPA_DE_BASEBOL,1,0.0029387563183260845
TIPO_DE_COMIDA_OU_PRATO,1,0.0029387563183260845
COMUNIDADE_NÃO_INCORPORADA,1,0.0029387563183260845
CASA_DE_CÂMBIO,1,0.0029387563183260845
JORNAL,1,0.0029387563183260845
